unitAvail,unitInspec,askIncome,callBack,finHelp,followUp,otherInspec,agentAge,auditorChild,auditorKid,auditorCouple,isQualified,agentBLK,agentFEM,auditID,pctBLK,houseVAL,officeBLK,inCity,sameAgent,race
1,1,0,1,1,0,0,40,1,0,1,0,0,1,52002740,3.5799999,110000,3.29,1,1,white
1,0,0,1,1,1,0,35,0,0,1,1,0,0,52001940,4.6007018,61450,2.1300001,0.57499999,1,white
1,0,0,0,0,0,1,50,0,0,1,0,0,1,52002020,5.1914706,76000,1.21,1,0,white
1,1,0,1,1,0,1,50,0,0,1,1,0,0,52001912,3.6273685,136500,3.5699999,0,0,white
1,0,1,1,1,0,1,55,0,0,1,1,0,1,52001968,5.1914706,79750,5.7199998,1,1,white
1,1,0,1,0,0,1,60,1,1,1,0,0,1,52002500,1.36,165000,1.36,1,1,white
1,0,0,1,1,0,1,60,1,1,1,0,0,1,52002520,2.1600001,95000,0.07,1,1,white
1,1,0,1,0,0,0,50,1,1,1,0,0,1,52002528,1.13,110000,8.0799999,1,1,white
1,1,0,1,1,0,1,40,1,1,1,0,1,1,52002540,16.620001,83950,6.1700001,1,1,white
1,0,0,1,1,0,0,62,0,0,1,0,0,1,52002620,0.77999997,84950,4.5100002,1,1,white
1,1,0,1,1,0,1,48,1,1,1,0,0,1,52002752,1.05,141250,2.04,0,0,white
0,0,0,0,0,0,0,32,1,0,1,0,0,1,52001688,4.6007018,102500,2.9449413,0.57499999,2,white
1,1,0,1,0,0,1,65,1,1,1,0,0,1,52001960,3.6273685,194500,1.7,0,0,white
1,1,0,0,1,0,0,50,1,1,1,0,0,1,52001048,0.69,155000,3.6665909,1,0,white
0,0,1,0,0,0,1,45,0,0,1,1,0,1,52001060,3.6273685,134250,0.07,0,0,white
1,0,0,1,0,0,1,33,1,1,1,0,0,1,52001072,4.6007018,142000,0,0.57499999,0,white
1,1,1,0,0,0,0,57,0,0,1,1,0,1,52001160,11.46,125000,52.959999,1,1,white
1,0,0,1,1,1,0,48,0,0,1,0,0,1,52001312,6.1700001,35000,0.07,1,0,white
1,1,1,0,0,0,0,30,0,0,1,1,0,0,52001032,4.6007018,123500,3.46,0.57499999,1,white
1,1,0,1,1,0,0,30,0,0,1,0,0,1,52001128,1.5599999,92450,1.48,0,1,white
